setting,rep,gamma,method,changept
"Transition: Homo
Reward: PC",14,0.95,Normalised,50
"Transition: Homo
Reward: PC",14,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",14,0.95,Integral,50
"Transition: Homo
Reward: PC",15,0.95,Normalised,50
"Transition: Homo
Reward: PC",15,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",15,0.95,Integral,50
"Transition: Homo
Reward: PC",16,0.95,Normalised,50
"Transition: Homo
Reward: PC",16,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",16,0.95,Integral,50
"Transition: Homo
Reward: PC",17,0.95,Normalised,50
"Transition: Homo
Reward: PC",17,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",17,0.95,Integral,50
"Transition: Homo
Reward: PC",18,0.95,Normalised,50
"Transition: Homo
Reward: PC",18,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",18,0.95,Integral,50
"Transition: Homo
Reward: PC",19,0.95,Normalised,50
"Transition: Homo
Reward: PC",19,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",19,0.95,Integral,50
"Transition: Homo
Reward: PC",20,0.95,Normalised,50
"Transition: Homo
Reward: PC",20,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",20,0.95,Integral,50
"Transition: Homo
Reward: PC",21,0.95,Normalised,50
"Transition: Homo
Reward: PC",21,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",21,0.95,Integral,50
"Transition: Homo
Reward: PC",22,0.95,Normalised,50
"Transition: Homo
Reward: PC",22,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",22,0.95,Integral,50
"Transition: Homo
Reward: PC",23,0.95,Normalised,50
"Transition: Homo
Reward: PC",23,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",23,0.95,Integral,50
"Transition: Homo
Reward: PC",24,0.95,Normalised,50
"Transition: Homo
Reward: PC",24,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",24,0.95,Integral,50
"Transition: Homo
Reward: PC",25,0.95,Normalised,50
"Transition: Homo
Reward: PC",25,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",25,0.95,Integral,50
"Transition: Homo
Reward: PC",26,0.95,Normalised,50
"Transition: Homo
Reward: PC",26,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",26,0.95,Integral,50
"Transition: Homo
Reward: PC",27,0.95,Normalised,50
"Transition: Homo
Reward: PC",27,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",27,0.95,Integral,50
"Transition: Homo
Reward: PC",28,0.95,Normalised,50
"Transition: Homo
Reward: PC",28,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",28,0.95,Integral,50
"Transition: Homo
Reward: PC",29,0.95,Normalised,50
"Transition: Homo
Reward: PC",29,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",29,0.95,Integral,50
"Transition: Homo
Reward: PC",30,0.95,Normalised,50
"Transition: Homo
Reward: PC",30,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",30,0.95,Integral,50
"Transition: Homo
Reward: PC",31,0.95,Normalised,50
"Transition: Homo
Reward: PC",31,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",31,0.95,Integral,50
"Transition: Homo
Reward: PC",32,0.95,Normalised,50
"Transition: Homo
Reward: PC",32,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",32,0.95,Integral,50
"Transition: Homo
Reward: PC",33,0.95,Normalised,50
"Transition: Homo
Reward: PC",33,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",33,0.95,Integral,50
"Transition: Homo
Reward: PC",34,0.95,Normalised,50
"Transition: Homo
Reward: PC",34,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",34,0.95,Integral,50
"Transition: Homo
Reward: PC",35,0.95,Normalised,50
"Transition: Homo
Reward: PC",35,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",35,0.95,Integral,50
